0.001	2.39736945295943e-16
0.002	2.4277541852406e-16
0.003	2.45806168148691e-16
0.004	2.48828653988194e-16
0.005	2.51842340436944e-16
0.006	2.54846696641945e-16
0.007	2.57841196673144e-16
0.008	2.6082531968755e-16
0.009	2.63798550087223e-16
0.01	2.66760377671237e-16
0.02	2.95643388358248e-16
0.03	3.22869868120495e-16
0.04	3.48036378067765e-16
0.05	3.70812753049578e-16
0.1	4.42454385000496e-16
0.5	2.60373899137993e-16
1	1.13583891144328e-15
1.5	8.76947668773317e-16
2	1.33372949292241e-15
2.5	1.32745865060699e-15
3	1.50676307940544e-15
3.5	1.59163481329967e-15
4	1.70642477052669e-15
5	1.89744227315143e-15
6.5	2.24024592524872e-15
8	2.42911258805013e-15
10	2.89681773417957e-15
12.5	3.01913793331785e-15
16	3.62441762766291e-15
20	4.37902628366399e-15
25	5.66978487139645e-15
32	7.13249074135826e-15
40	8.28673013481186e-15
50	1.06752307355447e-14
65	1.21312097767684e-14
80	1.51351536788354e-14
100	2.05843659727365e-14
150	6.1250020706899e-16
200	4.72313488968784e-14
250	8.28059110978813e-37
300	6.82462677750873e-14
400	6.56716527996653e-14
